work_number,work_label,folder,title,year,format,materials,size,location,page_count,content_start_page,content_end_page,image_count
1,Work 1,Work 1,Body Frames,2025,Installation,"Glass, Metal, Sand, Fishing line",175 cm x 210 cm x 70 cm,"Exhibition view, Dudley College of Technology, England",2,1,2,3
2,Work 2,Work 2,Bodies of Foil,2025,Illustration,"Tin foil, Ink, Paper",29.7 cm x 21 cm,,1,3,3,2
3,Work 3,Work 3,Can you Sit?,2025,Sculpture,"Wire, Wood",25 cm x 10 cm x 10 cm,,1,4,4,2
4,Work 4,Work 4,Split I,2024,Lino Print,"Ink, Paper",21 cm x 14.8 cm,,1,5,5,1
5,Work 5,Work 5,Split II,2024,Lino Print,"Ink, Paper",21 cm x 14.8 cm,,1,6,6,1
6,Work 6,Work 6,Golem,2026,Lino Print,"Ink, Paper",29.7 cm x 21 cm,,1,7,7,1
7,Work 7,Work 7,Live Illustration Performance in collaboration with Lucy Maclauchlan,2024,Canvas,"Paint, Ink",118.9 cm x 84.1 cm,Kings Heath Eid - England,1,8,8,2
8,Work 8,Work 8,Corset,2025,Digital Photograph,"Balloons, Umbrella",29.7 cm x 21 cm,,2,9,10,3
9,Work 9,Work 9,Traffic,2025,Installation,"Polystyrene, Newspaper, Maps, Plastic, Copper Pipes, Fishing Line",110 cm x 170 cm x 30 cm,,1,11,11,2
10,Work 10,Work 10,Bricks,2025,Installation,"Polystyrene, Newspaper, Maps, Copper Pipes, Fishing line",85 cm x 120 cm x 45 cm,,1,12,12,2
11,Work 11,Work 11,Layers of Brierley Hill,2025,Installation,"Metal Grates, Cardboard, Tape, Paint, Fishing Line",110 cm x 100 cm x 80 cm,Exhibition at Dudley College of Technology,2,13,14,3
12,Work 12,Work 12,Craig Green Collection Black,2025,Collage,"Paper, Prints, Oil",21 cm x 14.4 cm,,1,15,15,2
13,Work 13,Work 13,Craig Green Collection White,2025,Collage,"Paper, Prints, Oil",21 cm x 14.4 cm,,1,16,16,2
14,Work 14,Work 14,Metal over Mind,2025,Collage,"Metal Can, Paper, Paint",21 cm x 29.7 cm,,1,17,17,1
